X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
6.75,51.9,train,1.318994457082273E10,100.0,0.9999999999989715
7.53966,48.52853,train,0.2137217492028248,100.0,0.9403148004416766
7.5833,48.5667,train,1.691914376600221E8,100.0,0.9999999999198205
9.058076,51.361698,train,1.9227352953828564E11,100.0,0.9999999999999295
8.835583,49.756752,train,5.839047183568826E9,100.0,0.9999999999976767
8.561954,49.088791,train,0.04762948568712429,90.8367107471565,0.7783208406323262
10.283653,59.749397,train,4.998946252465462E10,100.0,0.9999999999997287
10.418751,53.220058,train,22.342064780297765,100.0,0.9993931865812803
10.352213,53.248074,train,1.768695078798255E10,100.0,0.9999999999992331
1.606,42.531,train,2.407873978022771E9,100.0,0.9999999999943661
1.485,42.522,train,4.364180717045799E9,100.0,0.9999999999968916
28.768729,61.167933,train,4.887084443933325E-12,3.529311507837346E-9,3.6025311501936393E-10
-3.184044,47.746174,train,1.2051174938912608E-5,0.012720014802895193,8.875680397495844E-4
-3.48675,47.80599,train,4.7439407797725556E-21,3.784223785525448E-18,3.4970123058087463E-19
11.518249,48.041641,train,9.613408381685015E-12,7.6298875426731E-9,7.086557136428988E-10
15.608204,44.876346,train,6.389616942653135,100.0,0.9978814134592657
15.61056,44.877013,train,6.389616942653135,100.0,0.9978814134592657
12.41411,55.76822,train,396.32105208247634,100.0,0.9999657721128845
12.34345,55.78706,train,396.32105208247634,100.0,0.9999657721128845
-2.780763,51.457425,train,0.04110219962910925,88.20050330028009,0.7518525953323912
-3.328841,51.940743,train,1.0673512538445717E7,100.0,0.9999999987290317
-0.75,46.533333,train,6.884417468281136E-12,5.262204987229859E-9,5.074872075835733E-10
-0.35,46.1167,train,1.237404471802873E-11,1.0025025783471047E-8,9.121569728823177E-10
-1.69732,47.26023,train,1.506379854633093E-11,1.1752389557981579E-8,1.1104331035256529E-9
3.32848,46.9047,train,1.1310305130133705E7,100.0,0.9999999988005897
3.85111,46.72194,train,1.1310305130133705E7,100.0,0.9999999988005897
-4.00432,48.67943,train,1.7540968774712154E-22,1.3992365069449157E-19,1.2930385624231236E-20
4.25845,47.3485,train,8.083243585003592E9,100.0,0.9999999999983218
5.07732,47.96702,train,2.1411777961038537E7,100.0,0.9999999993664377
6.2009,46.54081,train,4.989866934008204E-5,0.07775751537585009,0.0036648173296509176
5.442717,44.881646,train,4.344032118165174E9,100.0,0.9999999999968772
2.31825,43.66189,train,4.965246237668458E-12,3.5971249676110173E-9,3.6601483859531545E-10
2.36121,43.96856,train,8.924528366272024E-12,7.032212707159486E-9,6.578746858083052E-10
4.34574,45.54642,train,8170161.473042125,100.0,0.9999999983396048
2.93565,45.73455,train,1.0483261503439909E10,100.0,0.9999999999987059
-0.18904,44.15764,train,0.029928352322234664,75.03335308712609,0.6881022368170654
-0.32448,44.3338,train,0.029928352322234664,75.03335308712609,0.6881022368170654
1.74668,44.93338,train,0.0041119621168748685,12.065248936699044,0.23260784658566352
8.025152,60.500506,train,2.1222193564227796E9,100.0,0.9999999999936078
8.196283,60.620649,train,4.816326693585228E7,100.0,0.9999999997183394
11.439039,62.54082,train,1.0977282499013975E7,100.0,0.9999999987642026
12.070851,62.344111,train,4.691724191262239E-14,3.742570808514801E-11,3.4585206675017803E-12
12.356309,61.357312,train,3.240738151143515E-24,2.5851246808365563E-21,2.3889213041559306E-22
12.541586,61.475758,train,3.067170479065966E-14,2.4466703991400567E-11,2.2609752961117245E-12
6.419657,59.244544,train,5.49018499514338E-15,4.379500000114374E-12,4.047108802672628E-13
6.321858,59.565622,train,0.01404791602688292,44.72464431335958,0.5087315534705683
6.02483,62.154938,train,0.9362232280213874,100.0,0.9857171459823961
10.926442,61.208172,train,45670.562648064435,100.0,0.9999997029663805
8.003863,58.261442,train,283.89304805711566,100.0,0.9999522177508374
8.01935,58.901516,train,5.967513770287712E-11,2.7521405842400424E-8,4.398973336041509E-9
8.986926,63.542629,train,3.861681787783443E8,100.0,0.999999999964871
11.420749,60.673433,train,6.64225264866246E-5,0.09658316557556648,0.004872501925665542
12.188189,60.905208,train,1.053761772695191E-17,8.405818178661555E-15,7.767841247551565E-16
8.186239,62.551194,train,1.1024024373117638E10,100.0,0.9999999999987694
7.514659,62.330206,train,0.011057386745955815,38.775707672744566,0.4490658870693214
12.030292,64.041337,train,5.967513770287712E-11,2.7521405842400424E-8,4.398973336041509E-9
9.531583,60.22376,train,7.4813088338834275,100.0,0.9981900035147757
9.971057,56.031108,train,2.888544488541673E11,100.0,0.999999999999953
13.8389,50.1721,train,4.12164364735977E10,100.0,0.9999999999996708
14.143311,50.575465,train,3.2665402029291277E9,100.0,0.9999999999958471
13.459704,42.66186,train,4.407198250382277E8,100.0,0.9999999999692192
14.079909,42.146818,train,0.1513344616140069,100.0,0.9177338778341133
-1.088498,53.542666,train,7.312768762531301,100.0,0.9981483651022148
13.834657,58.200671,train,5.732232808797616E10,100.0,0.9999999999997633
13.54778,58.36778,train,3.16267705467874E10,100.0,0.9999999999995711
16.138791,56.817788,train,3.16267705467874E10,100.0,0.9999999999995711
15.678369,56.221915,train,106.60028577978296,100.0,0.9998727585921581
17.09493,47.68748,train,130.00904348220158,100.0,0.9998956666333418
17.89767,46.78301,train,9201916.089172455,100.0,0.9999999985257748
17.95432,46.77266,train,9201916.089172455,100.0,0.9999999985257748
6.74577,45.45714,train,0.07655447360829314,100.0,0.8494710281575301
6.49415,45.04947,train,6.678353489654275E-4,0.9548277738101497,0.0469198617295909
0.465891,49.571483,train,1.5121185048247965E-13,1.2062112657244252E-10,1.114663370525468E-11
0.84592,49.85473,train,38439.35620053908,100.0,0.9999996470884762
-0.79673,45.76075,train,1.758611459654529E-12,1.3340630614340386E-9,1.2963665020805275E-10
-1.04711,45.66187,train,1.4321310896989142E-21,1.1424056043737003E-18,1.055700371632486E-19
4.14132,48.06983,train,7.732342445551096E7,100.0,0.999999999824559
3.40952,48.49043,train,0.029928352322234664,75.03335308712609,0.6881022368170654
