Predictor variable,Categorical,Sample average
builtup_aggregated,false,6.649831207955065
wc2.1_2.5m_bio_1,false,7.063096845044922
wc2.1_2.5m_bio_18,false,224.08205128205128
wc2.1_2.5m_bio_7,false,25.694680284842466
