Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.25361E-12,0.000000001,0,0.619897959,0.064102564,0
4.277E-12,0.000000003,0,0.604591837,0.079487179,0
1.34978E-11,0.000000011,0.000000001,0.581632653,0.112820513,0
4.47183E-11,0.000000026,0.000000003,0.568877551,0.120512821,0
6.17922E-9,0.00000065,0.000000456,0.56377551,0.138461538,0
1.04738E-8,0.000001697,0.000000772,0.56122449,0.138461538,0
1.77235E-8,0.000002546,0.000001306,0.558673469,0.146153846,0
8.62958E-8,0.000010513,0.000006361,0.556122449,0.153846154,0
2.1676E-7,0.00002526,0.000015978,0.556122449,0.156410256,0
6.24533E-7,0.00007135,0.000046036,0.556122449,0.161538462,0
8.76642E-7,0.000159014,0.000064618,0.553571429,0.161538462,0
8.82978E-7,0.000334976,0.000065085,0.548469388,0.164102564,0
1.49188E-6,0.000794944,0.000109962,0.538265306,0.164102564,0
1.67057E-6,0.001007137,0.000123132,0.535714286,0.166666667,0
2.84708E-6,0.00301018,0.00020983,0.510204082,0.171794872,0
7.08317E-6,0.005282047,0.000521866,0.494897959,0.171794872,0
1.16356E-5,0.011939267,0.000856986,0.477040816,0.174358974,0
1.92863E-5,0.026312769,0.00141968,0.451530612,0.179487179,0
2.79674E-5,0.052771194,0.002057381,0.423469388,0.187179487,0
6.96772E-5,0.100291219,0.005110035,0.397959184,0.205128205,0
1.43073E-4,0.206688717,0.010436626,0.375,0.215384615,0
2.37726E-4,0.321156499,0.017222258,0.359693878,0.215384615,0
3.39358E-4,0.412059074,0.024405344,0.352040816,0.220512821,0
3.94743E-4,0.523421527,0.028275803,0.344387755,0.223076923,0
4.89346E-4,0.615848153,0.034816421,0.339285714,0.225641026,0
5.62644E-4,0.727169672,0.039823801,0.334183673,0.233333333,0
5.75654E-4,0.784735029,0.040707115,0.331632653,0.233333333,0
6.67835E-4,0.954827458,0.046919862,0.323979592,0.233333333,0
7.68442E-4,1.045875766,0.053609203,0.321428571,0.235897436,0
7.69717E-4,1.12284746,0.053693389,0.318877551,0.235897436,0
8.16931E-4,1.58939903,0.056799844,0.303571429,0.238461538,0
9.61436E-4,1.972518503,0.06618206,0.293367347,0.243589744,0
1.03499E-3,2.071604523,0.070886665,0.290816327,0.243589744,0
1.07074E-3,2.287299079,0.073155717,0.285714286,0.246153846,0
1.09745E-3,2.505483186,0.074843804,0.280612245,0.246153846,0
1.20149E-3,2.851977334,0.081362218,0.272959184,0.251282051,0
1.20574E-3,3.093021532,0.081626285,0.267857143,0.251282051,0
1.30899E-3,3.470612571,0.088001036,0.260204082,0.258974359,0
1.31597E-3,3.733107836,0.088428636,0.255102041,0.258974359,0
1.60563E-3,3.893670494,0.105832996,0.25255102,0.258974359,0
1.67905E-3,4.222138084,0.110139541,0.24744898,0.258974359,0
1.68143E-3,4.39028087,0.110278359,0.244897959,0.258974359,0
1.80357E-3,4.570637817,0.117349096,0.242346939,0.264102564,0
1.82175E-3,4.752812504,0.118391783,0.239795918,0.264102564,0
