X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
6.75,51.9,train,2.572402385828163E7,100.0,0.9999999994530546
6.25,51.95,train,555.8442682604771,100.0,0.999974688452028
7.53966,48.52853,train,312.2726825663438,100.0,0.999954946423804
9.058076,51.361698,train,3.84836037824741E9,100.0,0.999999999996344
9.156468,51.072681,train,3.84836037824741E9,100.0,0.999999999996344
8.835583,49.756752,train,4650904.111818379,100.0,0.9999999969748602
10.283653,59.749397,train,1.595301748339053E10,100.0,0.999999999999118
10.418751,53.220058,train,68088.01701316277,100.0,0.9999997933611127
10.352213,53.248074,train,1.6687661674525663E8,100.0,0.9999999999156884
1.606,42.531,train,4.539058666887704E7,100.0,0.9999999996900318
1.485,42.522,train,3.373236984836596E7,100.0,0.9999999995829041
28.781376,61.334809,train,0.011070237392077539,30.009614125555654,0.4403458070867214
28.768729,61.167933,train,1.6649551736343163E-5,0.024258647916551294,0.0011819690062739021
-3.184044,47.746174,train,7.24532847633102E-10,8.653614082020709E-7,5.149620520212002E-8
-3.48675,47.80599,train,1.4649586058119033E-13,1.4015389675311202E-10,1.0412200510718899E-11
11.518249,48.041641,train,5.471196211269513E-7,5.644535871634283E-4,3.888504193099498E-5
11.43,48.26,train,6.458462701899685E-7,7.25253028740145E-4,4.590144844447088E-5
15.608204,44.876346,train,601.2013089297337,100.0,0.9999765980121484
15.61056,44.877013,train,601.2013089297337,100.0,0.9999765980121484
12.34345,55.78706,train,4183695.415111816,100.0,0.9999999966370318
-2.780763,51.457425,train,25.51542546082153,100.0,0.999448887064452
-3.328841,51.940743,train,10.967368141785782,100.0,0.998718780247968
-0.75,46.533333,train,4.2621537152311344E-8,3.0706779510890705E-5,3.029318676895023E-6
-0.35,46.1167,train,4.959405278682772E-9,3.7621061950214067E-6,3.524898503565376E-7
-1.2043,47.72988,train,1.5710844134118928E-7,8.672940930030008E-5,1.1166365522271858E-5
3.32848,46.9047,train,12116.103699436942,100.0,0.9999988387670661
3.85111,46.72194,train,15416.836154623941,100.0,0.9999990873858939
-4.094207,48.195372,train,2.4636525524147155E-10,3.4661201703418785E-7,1.751042235173506E-8
-4.00432,48.67943,train,6.324154033788195E-14,6.050374583868161E-11,4.494895596341432E-12
4.25845,47.3485,train,9654499.822851382,100.0,0.9999999985426863
5.07732,47.96702,train,47961.05409529558,100.0,0.9999997066446699
5.79087,46.24065,train,1323561.8150701865,100.0,0.9999999893698694
6.2009,46.54081,train,5.6882820572346246E-5,0.0800736585874181,0.004026669654475158
5.96735,44.70436,train,1.533169025895151E7,100.0,0.9999999990823167
5.442717,44.881646,train,4.939818384192116E7,100.0,0.999999999715179
4.519174,45.360571,train,2.091628032621505E8,100.0,0.9999999999327336
2.67847,45.73411,train,4.013107224871248E7,100.0,0.999999999649408
2.93565,45.73455,train,3.513809885363961E8,100.0,0.999999999959959
-0.18904,44.15764,train,0.014840909102731266,52.273396053349664,0.5133389761720382
-0.32448,44.3338,train,0.019763002046316237,68.95460696843521,0.5841401611066422
1.74668,44.93338,train,0.0048191174168000055,10.051662056640675,0.2551315891176528
1.416,44.91289,train,0.011571045874990846,36.877403601358964,0.4512768571955713
10.897903,63.341095,train,1503.4530981329508,100.0,0.999990641874138
10.534238,63.397085,train,4.821233374927003E7,100.0,0.9999999997081735
8.025152,60.500506,train,8.025327783642758E7,100.0,0.9999999998246846
8.196283,60.620649,train,2123430.565611164,100.0,0.9999999933741017
11.439039,62.54082,train,885.369671925627,100.0,0.9999841089977997
6.419657,59.244544,train,4.4144433719181206E-11,4.7536952736068556E-8,3.1375677923960654E-9
6.321858,59.565622,train,0.01882288738772471,59.55687014041036,0.5722543006661042
10.926442,61.208172,train,0.9658335334813265,100.0,0.985641810907372
11.004443,61.992801,train,9.876830434373979,100.0,0.9985775172242519
8.003863,58.261442,train,229944.77226672863,100.0,0.9999999388129854
8.01935,58.901516,train,6.722656027337049E-4,0.775250751462912,0.045602369838186024
8.732972,63.03205,train,0.11638134675970083,100.0,0.8921461931746069
8.986926,63.542629,train,1710758.728758593,100.0,0.9999999917757925
11.420749,60.673433,train,3.469749409899282E-6,0.004023931224217835,2.4655180752966506E-4
12.188189,60.905208,train,1.2110499342262932E-15,1.1586222762270205E-12,8.607543376148032E-14
8.186239,62.551194,train,3.9947057361992484E8,100.0,0.9999999999647793
7.514659,62.330206,train,0.1899465820991579,100.0,0.9310366833265805
11.83815,64.06831,train,0.0027365021518838423,5.597668615633672,0.1628275510038407
12.030292,64.041337,train,6.722656027337049E-4,0.775250751462912,0.045602369838186024
10.018129,60.167492,train,7306.774625167713,100.0,0.9999980744434288
9.70752,56.80172,train,6.669762809728489E10,100.0,0.9999999999997891
9.971057,56.031108,train,3.401277670911381E11,100.0,0.9999999999999586
13.8389,50.1721,train,1.374892749390019E10,100.0,0.9999999999989767
14.143311,50.575465,train,6723389.842749039,100.0,0.9999999979073599
13.459704,42.66186,train,312360.38924620877,100.0,0.999999954957047
14.079909,42.146818,train,3724.389852873973,100.0,0.9999962223122738
-1.088498,53.542666,train,6.5636435583855,100.0,0.9978610142200348
13.54778,58.36778,train,8.983898215389019E9,100.0,0.9999999999984339
16.138791,56.817788,train,2.493333256087208E9,100.0,0.9999999999943571
15.678369,56.221915,train,23543.865129462316,100.0,0.9999994024079522
19.009,48.0113,train,0.15764870459942057,100.0,0.9180656240950494
19.093462,47.754128,train,4.015650257548996E-8,2.901978010144229E-5,2.8541172536496054E-6
17.09493,47.68748,train,0.16291582087508572,100.0,0.9205040045979413
17.89767,46.78301,train,98.9518818525847,100.0,0.9998578335803998
0.465891,49.571483,train,4.795514987564777E-11,5.0752247957845E-8,3.4084146292543512E-9
0.84592,49.85473,train,0.04389400450746215,93.87528655441295,0.7572679164312338
-1.04711,45.66187,train,7.60802509838801E-15,7.278665485183458E-12,5.407407588276318E-13
4.18568,50.04764,train,6978602.990539903,100.0,0.9999999979838895
5.36933,48.5016,train,9654499.822851382,100.0,0.9999999985426863
5.66273,48.94535,train,9654499.822851382,100.0,0.9999999985426863
0.21048,48.76249,train,0.2521969109723596,100.0,0.9471595842628086
0.08458,48.57947,train,0.22690444458019646,100.0,0.9416134921619876
0.68232,47.33219,train,1.5710844134118928E-7,8.672940930030008E-5,1.1166365522271858E-5
0.27617,47.50352,train,4.2621537152311344E-8,3.0706779510890705E-5,3.029318676895023E-6
2.93068,49.69402,train,181205.7636245083,100.0,0.9999999223554835
1.96371,50.40236,train,55637.93875326358,100.0,0.999999747121627
2.08027,50.76814,train,27655.70538365191,100.0,0.9999994912576761
-1.69836,49.32166,train,1.724197530325898E-16,1.6495551593646477E-13,1.2254742444464236E-14
-1.23997,49.44819,train,2.735617817494882E-16,2.6171899712938363E-13,1.9443417120282233E-14
4.866667,49.95,train,1.059305023248915E7,100.0,0.9999999986718051
-0.74,42.75,train,1115938.2872525614,100.0,0.9999999873921032
-0.524265,42.682448,train,9481122.784022642,100.0,0.999999998516037
0.90261,45.08453,train,0.026889628482195126,82.89977193467152,0.656496875329031
0.61398,45.8895,train,0.009773797094170568,26.81735699406706,0.4099156976055528
3.06629,47.3553,train,15416.836154623941,100.0,0.9999990873858939
1.9981,48.47228,train,0.009445097580472274,26.579818297496924,0.4016672336821186
-1.01229,43.40977,train,0.007929501228447102,19.75068449738241,0.3604460262166428
0.45989,43.63435,train,0.005574170161633513,11.915898781198818,0.2837622405606611
1.87463,46.21256,train,0.019436744024397552,66.71116312230619,0.5800908543046908
1.49186,46.80524,train,1.881881882042939E-8,1.147001596023418E-5,1.3375466861102126E-6
6.94208,47.37726,train,15282.614562494067,100.0,0.9999990793707467
7.28847,44.02824,train,0.7118409021792335,100.0,0.9806179490929197
7.49167,44.12472,train,2.531181533564234E7,100.0,0.9999999994441475
-3.509239,55.599316,train,9.254769777282299,100.0,0.9984820499784809
-3.492232,55.15019,train,0.3170266300421237,100.0,0.9575059084881448
-3.887526,52.574518,train,4.831195645889165E-6,0.007597742370769163,3.4325960102319985E-4
-4.100998,52.197004,train,1.030289631628024E-6,0.0011856203960942172,7.322252441488459E-5
-2.520527,52.890205,train,1077475.2937569206,100.0,0.9999999869420348
-1.927393,52.732616,train,5678834.331197805,100.0,0.9999999975224432
-1.6846,55.22,train,1013.449943531348,100.0,0.9999861172821112
-1.499717,55.064396,train,8.510101417170051E-5,0.11448486552728501,0.006012193669653846
24.1,56.59,train,3181863.577921738,100.0,0.9999999955781779
9.13524,47.63576,train,9.823513031276522E-9,6.4672767141422015E-6,6.982061853556374E-7
8.86073,47.3246,train,0.00959704611302362,26.689625750395894,0.4055087434164849
7.70736,52.243706,train,6978602.990539903,100.0,0.9999999979838895
7.629975,52.349555,train,3361832.7141741244,100.0,0.9999999958148914
11.050558,45.828083,train,8.845987684103737E8,100.0,0.999999999984095
-1.09719,51.510503,train,0.41111876459087426,100.0,0.9669096452317762
-1.063173,51.423061,train,1.382878102069745E-4,0.16527697934132782,0.009733147638627102
4.95,51.6,train,883.4975543498391,100.0,0.9999840753255493
