Predictor variable,Categorical,Sample average
Built2009,false,1.8637654195495734
Popdensity2010,false,4.886148977033236
Railways,false,1.114675922200772
Roads,false,3.209369058949387
wc2.1_2.5m_bio_1,false,7.101734813048868
wc2.1_2.5m_bio_12,false,844.2919896640827
wc2.1_2.5m_bio_15,false,25.803586834160857
wc2.1_2.5m_bio_4,false,660.3707974061793
