Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.20006E-12,0.000000001,0,0.948979592,0,0
7.43764E-12,0.000000003,0.000000001,0.941326531,0,0
2.60716E-11,0.00000001,0.000000003,0.931122449,0,0
3.93213E-11,0.000000026,0.000000004,0.918367347,0,0
1.89361E-10,0.00000011,0.00000002,0.903061224,0,0
3.93732E-10,0.000000267,0.000000042,0.890306122,0,0
1.56534E-9,0.000001028,0.000000169,0.869897959,0,0
2.45011E-9,0.00000268,0.000000264,0.849489796,0,0
1.01462E-8,0.000010002,0.000001092,0.816326531,0,0
2.85475E-8,0.000025872,0.000003074,0.793367347,0,0
5.94195E-8,0.000055376,0.000006397,0.778061224,0.002583979,0
9.87206E-8,0.000104685,0.000010629,0.762755102,0.002583979,0
2.6517E-7,0.000264219,0.000028549,0.742346939,0.002583979,0
9.37269E-7,0.000578299,0.000100903,0.729591837,0.005167959,0
1.23706E-6,0.001046585,0.000133173,0.719387755,0.005167959,0
2.39692E-6,0.002644669,0.000258003,0.696428571,0.007751938,0
4.64257E-6,0.005365006,0.000499603,0.678571429,0.007751938,0
6.49778E-6,0.010358856,0.000699109,0.655612245,0.007751938,0
1.74521E-5,0.026526915,0.001875498,0.62244898,0.007751938,0
3.32955E-5,0.051600963,0.003572027,0.596938776,0.010335917,0
6.12087E-5,0.101448963,0.006547024,0.568877551,0.020671835,0
9.09408E-5,0.205120383,0.009696409,0.533163265,0.020671835,0
1.46779E-4,0.306704037,0.015557446,0.512755102,0.023255814,0
1.76106E-4,0.403727502,0.018608074,0.49744898,0.023255814,0
2.00867E-4,0.517204603,0.021169026,0.482142857,0.025839793,0
2.28899E-4,0.601310063,0.024052126,0.471938776,0.031007752,0
2.69186E-4,0.701677847,0.0281662,0.461734694,0.036175711,0
2.8364E-4,0.757733783,0.029633804,0.456632653,0.03875969,0
2.9702E-4,0.816760455,0.030988375,0.451530612,0.03875969,0
3.3014E-4,0.913662402,0.034325204,0.443877551,0.041343669,0
3.42037E-4,1.014914286,0.03551821,0.43622449,0.041343669,0
3.55244E-4,1.120283607,0.036839146,0.428571429,0.041343669,0
3.71029E-4,1.2300045,0.038413141,0.420918367,0.041343669,0
3.81405E-4,1.305425357,0.039445046,0.415816327,0.041343669,0
4.16867E-4,1.430063955,0.042955008,0.408163265,0.041343669,0
4.56763E-4,1.518879781,0.046873264,0.403061224,0.046511628,0
5.44126E-4,1.780200574,0.055342388,0.390306122,0.049095607,0
6.59946E-4,2.029900855,0.066340729,0.380102041,0.051679587,0
7.67807E-4,2.314159357,0.076355554,0.369897959,0.062015504,0
8.40687E-4,2.557496761,0.083001613,0.362244898,0.064599483,0
8.75627E-4,2.813435701,0.086154047,0.354591837,0.064599483,0
9.9871E-4,3.008965914,0.097088571,0.349489796,0.072351421,0
1.05668E-3,3.321650826,0.102148547,0.341836735,0.074935401,0
1.0919E-3,3.538692792,0.105194659,0.336734694,0.074935401,0
1.11299E-3,3.761027091,0.107009083,0.331632653,0.074935401,0
1.12282E-3,4.096276607,0.1078527,0.323979592,0.074935401,0
1.14146E-3,4.32319804,0.109447162,0.318877551,0.074935401,0
1.17045E-3,4.556792746,0.111915439,0.31377551,0.074935401,0
1.27754E-3,4.802946943,0.120917105,0.308673469,0.07751938,0
1.39265E-3,5.007822107,0.130391256,0.303571429,0.080103359,0
1.47162E-3,5.373618273,0.136773924,0.298469388,0.082687339,0
1.57562E-3,5.531180096,0.145037905,0.295918367,0.090439276,0
1.63077E-3,5.855116405,0.149356291,0.290816327,0.093023256,0
1.87929E-3,6.043045032,0.168286846,0.288265306,0.095607235,0
1.93585E-3,6.299243523,0.172478704,0.283163265,0.095607235,0
2.03227E-3,6.59784229,0.179526543,0.280612245,0.098191214,0
2.07873E-3,6.757987363,0.182880755,0.278061224,0.100775194,0
2.11448E-3,7.058049469,0.185442388,0.275510204,0.103359173,0
2.14738E-3,7.272787123,0.187785693,0.272959184,0.103359173,0
2.16103E-3,7.703792317,0.18875409,0.267857143,0.103359173,0
2.1732E-3,7.921112029,0.189615525,0.265306122,0.103359173,0
2.20915E-3,8.015390529,0.192149995,0.262755102,0.103359173,0
2.40724E-3,8.35350866,0.205832746,0.260204082,0.111111111,0
2.47344E-3,8.637760115,0.210303256,0.257653061,0.11369509,0
2.48753E-3,8.779829565,0.211247698,0.255102041,0.11369509,0
2.52672E-3,9.011965953,0.213864541,0.25255102,0.11627907,0
2.56822E-3,9.400085551,0.216616182,0.25,0.121447028,0
2.59806E-3,9.659891337,0.218582588,0.24744898,0.124031008,0
2.64876E-3,9.883301571,0.221901477,0.244897959,0.124031008,0
2.6597E-3,10.191699788,0.22261425,0.242346939,0.126614987,0
2.787E-3,10.470399499,0.230809668,0.239795918,0.126614987,0
2.79145E-3,10.749544579,0.231093271,0.237244898,0.126614987,0
2.88289E-3,11.028904989,0.236869798,0.234693878,0.126614987,0
2.89062E-3,11.327197433,0.237354587,0.232142857,0.129198966,0
2.89475E-3,11.616672481,0.237613033,0.229591837,0.129198966,0
2.90683E-3,11.907355583,0.238368283,0.227040816,0.129198966,0
2.98012E-3,12.205367924,0.24291848,0.224489796,0.129198966,0
