lon,lat,bank.vole_AllData_RUN2 logistic values
-18.6458333333333,76.8541666666667,2.9941161E-6
25.1875,70.7291666666667,0.19566293
28.7708333333333,69.9791666666667,0.025127728
30.6875,69.8125,0.1082751
28.0625,69.5625,1.8679375E-5
27.8125,69.4791666666667,2.340943E-5
31.8541666666667,69.4375,0.5282259
29.1875,69.3125,0.0012481444
35.0625,69.0208333333333,0.39366284
29.8125,68.6875,0.0024370223
18.9375,68.6458333333333,0.20762369
15.5625,68.3125,0.48359635
16.8958333333333,68.2708333333333,0.39676878
38.6041666666667,68.2291666666667,0.08309553
19.0208333333333,68.1458333333333,0.06634073
25.9791666666667,67.8958333333333,3.1491986E-6
36.9791666666667,67.8125,4.000985E-4
18.9791666666667,67.6458333333333,6.044622E-4
16.5625,67.6041666666667,0.120917104
26.5625,67.3541666666667,8.32888E-26
15.8541666666667,67.2708333333333,0.41935804
31.4791666666667,67.2708333333333,0.0021422475
35.5625,67.2708333333333,5.788124E-4
39.4375,67.2708333333333,2.4489746E-5
32.2291666666667,67.1875,0.11149504
28.7291666666667,67.0625,3.87971E-27
19.2291666666667,66.9791666666667,1.5754284E-7
40.3541666666667,66.8958333333333,1.2369204E-5
39.7708333333333,66.7291666666667,2.8627448E-5
29.8125,66.6875,5.6474867E-26
18.6458333333333,66.3958333333333,7.943703E-6
32.8958333333333,66.3958333333333,0.021880854
21.5625,66.2708333333333,0.10708536
19.6458333333333,66.2291666666667,0.0035720267
16.3125,65.8125,1.8184351E-4
30.9375,65.8125,3.5028138E-25
16.4375,65.6875,1.0090303E-4
32.9791666666667,65.5208333333333,0.0012029852
-17.0625,65.4791666666667,0.47568092
-14.8125,65.4791666666667,0.30631268
20.6041666666667,65.4375,0.101241626
33.9791666666667,65.3958333333333,9.2261995E-4
30.2291666666667,65.3541666666667,5.557032E-4
-17.8541666666667,65.2708333333333,0.38434708
-14.5208333333333,65.2708333333333,0.41835213
10.9791666666667,64.9375,0.8029909
28.2708333333333,64.8541666666667,0.017129844
30.8958333333333,64.6875,0.036232546
41.1041666666667,64.6041666666667,1.3294093E-4
39.3958333333333,64.4791666666667,1.4067217E-4
14.2291666666667,64.3958333333333,0.3064508
38.9791666666667,64.1458333333333,1.320625E-26
30.6875,63.8958333333333,0.00849936
37.0208333333333,63.8541666666667,0.0016462287
16.4791666666667,63.8125,0.011274162
26.1041666666667,63.4375,0.08300161
41.6041666666667,63.2291666666667,2.3415085E-4
15.9375,63.0208333333333,0.17146556
38.0208333333333,63.0208333333333,3.76501E-28
8.72916666666666,62.8541666666667,0.64429843
15.4791666666667,62.8125,0.48870385
31.8125,62.8125,0.0017052196
35.6041666666667,62.6041666666667,0.058855906
14.9791666666667,62.5625,0.3955917
33.8541666666667,62.5625,0.0031497742
38.1458333333333,62.3958333333333,4.2882733E-4
31.1041666666667,62.2291666666667,0.003699028
9.5625,61.9375,0.22252859
9.47916666666666,61.8958333333333,0.011692762
12.3541666666667,61.8541666666667,0.09337649
29.1458333333333,61.8125,0.35750988
10.3125,61.7708333333333,0.034762464
10.6041666666667,61.7708333333333,0.026107471
40.4375,61.6458333333333,5.69986E-4
40.5208333333333,61.6458333333333,2.6366135E-4
