X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
6.75,51.9,train,1.8772627859822243E10,100.0,0.9999999999992556
6.25,51.95,train,3.0570401723883617E8,100.0,0.9999999999542862
7.53966,48.52853,train,1296.7192223736229,100.0,0.9999892230076259
7.5833,48.5667,train,5.555250527465835E7,100.0,0.9999999997484382
9.058076,51.361698,train,9.517827231363524E10,100.0,0.9999999999998531
9.156468,51.072681,train,9.517827231363524E10,100.0,0.9999999999998531
8.835583,49.756752,train,1.5813260629866114E8,100.0,0.9999999999116256
8.561954,49.088791,train,1296.7192223736229,100.0,0.9999892230076259
10.783305,59.808982,train,5457944.471070948,100.0,0.9999999974395335
10.283653,59.749397,train,3.9246477554251495E10,100.0,0.999999999999644
10.418751,53.220058,train,93345.15875250388,100.0,0.9999998502880935
10.352213,53.248074,train,3.998982458569712E9,100.0,0.9999999999965054
1.606,42.531,train,417911.3357622748,100.0,0.9999999665601716
28.781376,61.334809,train,0.016752554024173978,52.08786304117713,0.54519853337502
-3.184044,47.746174,train,7.106895121254884E-11,3.0975558594398505E-8,5.085477058670217E-9
-3.48675,47.80599,train,1.2452037617777447E-15,1.3971697207999981E-12,8.910297799604263E-14
11.518249,48.041641,train,0.0403994202439116,90.93347731968213,0.7429873535034941
15.608204,44.876346,train,0.03944389070823994,90.4775569711015,0.7383900339818467
12.41411,55.76822,train,8.760866240980196E7,100.0,0.9999999998404852
12.34345,55.78706,train,8.760866240980196E7,100.0,0.9999999998404852
-2.780763,51.457425,train,1537.5936883486427,100.0,0.9999909112811335
-3.328841,51.940743,train,1.1360040974540125E8,100.0,0.9999999998769821
-0.75,46.533333,train,4.1497684675056456E-11,2.20075599369505E-8,2.9694475611203973E-9
-0.35,46.1167,train,1.894232071131757E-11,1.1000010107611675E-8,1.3554546131769234E-9
-1.69732,47.26023,train,3.4859024327436E-10,8.801925454202592E-8,2.494405249546957E-8
-1.2043,47.72988,train,3.4859024327436E-10,8.801925454202592E-8,2.494405249546957E-8
3.32848,46.9047,train,6613209.610065807,100.0,0.9999999978868228
3.85111,46.72194,train,3215033.706346207,100.0,0.9999999956532699
-4.094207,48.195372,train,6.763356741311016E-12,4.7415783671635675E-9,4.839651510114738E-10
4.25845,47.3485,train,4.76056103946078E8,100.0,0.9999999999706445
5.07732,47.96702,train,6602771.014375458,100.0,0.999999997883482
5.79087,46.24065,train,242.64185128926627,100.0,0.999942408620479
6.2009,46.54081,train,3.8938323780580525E-4,0.526278535657917,0.027107769395718698
5.442717,44.881646,train,887433.9918350105,100.0,0.9999999842524812
2.31825,43.66189,train,5.3556368930747185E-12,4.018190125339734E-9,3.8323301832489075E-10
4.34574,45.54642,train,2196724.4259040323,100.0,0.9999999936383083
4.519174,45.360571,train,2042149.3416060423,100.0,0.9999999931567768
2.67847,45.73411,train,2042149.3416060423,100.0,0.9999999931567768
2.93565,45.73455,train,787946.2519173286,100.0,0.9999999822641665
-0.18904,44.15764,train,0.007459195299181982,22.028035100221352,0.34800633478518245
-0.32448,44.3338,train,0.013866556121508028,47.21627072472497,0.4980545608095999
1.74668,44.93338,train,0.005529863271570944,17.4854127861628,0.28351371373786494
1.416,44.91289,train,0.009127494147936703,28.483580705278325,0.39508894613174855
10.897903,63.341095,train,1.1367569852351027,100.0,0.987855655905239
10.534238,63.397085,train,1478108.1520183848,100.0,0.9999999905454255
8.025152,60.500506,train,437079.1398562463,100.0,0.9999999680266523
8.196283,60.620649,train,6.458074322895698E7,100.0,0.999999999783606
11.439039,62.54082,train,2.9766187299502533E7,100.0,0.9999999995305114
12.070851,62.344111,train,9.26179174241063E-13,1.0281483821696627E-9,6.627455289687943E-11
12.541586,61.475758,train,3.1888442168393404E-14,3.578014073580467E-11,2.2818395254409426E-12
6.02483,62.154938,train,4.555284041085581E-10,1.10000117169887E-7,3.259622022573011E-8
6.181613,62.49851,train,2.422484774221982E-6,0.0012489669336482373,1.7331556801154188E-4
11.004443,61.992801,train,2493.858205575133,100.0,0.9999943963111311
8.003863,58.261442,train,31.623404906723223,100.0,0.9995582793559188
8.732972,63.03205,train,1.172977073659859E-6,3.741819440507322E-4,8.392761235928219E-5
8.986926,63.542629,train,191200.43920818408,100.0,0.9999999269097769
11.420749,60.673433,train,1.1083086730008839E-8,5.500787376896042E-6,7.93071206624068E-7
12.188189,60.905208,train,1.1950471472320695E-21,1.3408919409762312E-18,8.551392385133833E-20
8.186239,62.551194,train,2.7689965080456154E10,100.0,0.9999999999994953
7.514659,62.330206,train,0.02329008131341235,67.2093455848391,0.6249859957259064
10.018129,60.167492,train,26833.243118711318,100.0,0.9999994791953981
9.70752,56.80172,train,2.957474584908183E11,100.0,0.9999999999999527
13.8389,50.1721,train,2.7373159027814865E10,100.0,0.9999999999994895
14.143311,50.575465,train,992629.7794442931,100.0,0.9999999859213536
13.459704,42.66186,train,2357.8183665962692,100.0,0.9999940729951268
14.079909,42.146818,train,2204.9586139174544,100.0,0.9999936621054388
-1.521887,53.33725,train,25449.699195399542,100.0,0.9999994508824643
-1.088498,53.542666,train,8.58401529173149,100.0,0.9983746336652128
13.834657,58.200671,train,6.052261355626122E10,100.0,0.9999999999997691
16.138791,56.817788,train,7.602831149173831E9,100.0,0.9999999999981619
15.678369,56.221915,train,135.2341678071253,100.0,0.9998966722684685
19.009,48.0113,train,210.04137511555433,100.0,0.9999334704696731
19.093462,47.754128,train,4.650227640476983E-4,0.5710179742044026,0.03220400095320923
17.09493,47.68748,train,9423.982137813118,100.0,0.9999985170957616
17.89767,46.78301,train,789365.130294969,100.0,0.9999999822960466
17.95432,46.77266,train,1100505.473547757,100.0,0.9999999873013956
6.74577,45.45714,train,0.032419964569245265,81.86040796090622,0.6987837168153544
6.49415,45.04947,train,3.643377309634532E-7,1.4225647256809411E-4,2.6070215565664138E-5
0.84592,49.85473,train,2553033.438635707,100.0,0.9999999945261651
-0.79673,45.76075,train,6.325747460770746E-12,4.51670307791306E-9,4.526511675051453E-10
-1.04711,45.66187,train,4.3693491057052093E-17,4.902589003891473E-14,3.12657276803347E-15
4.14132,48.06983,train,6613209.610065807,100.0,0.9999999978868228
3.40952,48.49043,train,0.0062940684098877,18.675205910612366,0.31052756706469903
3.62889,50.14158,train,8.569083800685183E9,100.0,0.9999999999983692
4.18568,50.04764,train,1.0201006608067687E9,100.0,0.9999999999863005
5.36933,48.5016,train,4.76056103946078E8,100.0,0.9999999999706445
5.66273,48.94535,train,4.76056103946078E8,100.0,0.9999999999706445
0.08458,48.57947,train,0.17129318110485903,100.0,0.9245693865970265
0.68232,47.33219,train,7.42573857262794E-11,3.163093205276961E-8,5.31363169173911E-9
0.27617,47.50352,train,1.894232071131757E-11,1.1000010107611675E-8,1.3554546131769234E-9
2.51599,49.60321,train,1.5194088464873789E7,100.0,0.9999999990802421
2.93068,49.69402,train,1.5194088464873789E7,100.0,0.9999999990802421
1.96371,50.40236,train,1.3975194811107868E8,100.0,0.9999999999000022
2.08027,50.76814,train,7841658.533873407,100.0,0.9999999982178663
-1.23997,49.44819,train,1.694993037038422E-19,1.9018517458828634E-16,1.2128852475282713E-17
4.45431,49.68535,train,4.76056103946078E8,100.0,0.9999999999706445
4.866667,49.95,train,1190389.155714927,100.0,0.9999999882602395
-0.74,42.75,train,3.6230859724594444E7,100.0,0.9999999996142823
-0.524265,42.682448,train,1.8735326670744437E8,100.0,0.9999999999254089
0.61398,45.8895,train,0.012558078242349783,45.33483862922269,0.4733010295898774
1.9981,48.47228,train,0.004991313744910678,14.537908993740613,0.26316892138521647
1.7135,48.51826,train,0.01925449620660859,58.49666997864835,0.5794419340796273
-1.24548,43.2207,train,0.006725424171644668,20.265129674617384,0.3248948850408961
0.25691,43.80823,train,7.021338130583895E-4,0.9734174715211901,0.04783899785479461
0.45989,43.63435,train,0.002174706161543526,5.173731158664193,0.13466014738892007
1.87463,46.21256,train,0.019332271372659224,58.68941585845021,0.5804239745229746
7.14044,47.42292,train,6.702128129442479,100.0,0.9979191975241305
7.120686,49.949959,train,1.8364344371076279E9,100.0,0.9999999999923902
6.388852,49.821377,train,4.76056103946078E8,100.0,0.9999999999706445
-3.492232,55.15019,train,0.46286312840556176,100.0,0.9706925970224014
-4.100998,52.197004,train,1.1667467773889885E-11,7.261665202630709E-9,8.348883575282218E-10
-1.6846,55.22,train,1.1426713588864967E10,100.0,0.999999999998777
-1.499717,55.064396,train,3.887584573605561E-6,0.0017371614573310288,2.7810631369114584E-4
24.1,56.59,train,7.224092921977482E9,100.0,0.9999999999980655
8.86073,47.3246,train,0.06717089701956691,100.0,0.8277805248685841
7.629975,52.349555,train,1.5813260629866114E8,100.0,0.9999999999116256
11.181821,45.687529,train,1.9154196488599728E10,100.0,0.9999999999992704
11.050558,45.828083,train,2.2248961403102303E10,100.0,0.9999999999993718
16.108038,46.872485,train,0.03937726755732977,90.44576847250212,0.7380633502435275
-1.09719,51.510503,train,0.15348958368266488,100.0,0.9165501554448998
-1.063173,51.423061,train,4.594350267446868E-6,0.0019726670122463767,3.286496266353947E-4
4.95,51.6,train,4586.358611147314,100.0,0.9999969529549735
4.452036,51.174354,train,9.0622829646421261E17,100.0,1.0
5.85,50.95,train,1.9648333003875703E8,100.0,0.999999999928875
5.84912,50.7922,train,2.8636127729789176E9,100.0,0.9999999999951198
5.995511,52.66725,train,3.075514336248041E8,100.0,0.9999999999545608
5.7,52.35,train,1.8772627859822243E10,100.0,0.9999999999992556
-0.266878,52.316417,train,0.03645573656597039,89.05189703973707,0.7228889178289498
-4.056196,50.736462,train,0.0065858142944584,20.10222553099981,0.32031083143266587
-4.329779,50.394026,train,4.546084559059989E-4,0.564858095603105,0.03150550612131062
8.89476,61.42124,train,4.9618566081127884E-12,3.815837343029823E-9,3.550553038677449E-10
9.142002,61.897914,train,3.906305973631605E9,100.0,0.9999999999964225
9.539956,62.24912,train,1.0447942459149944E11,100.0,0.9999999999998662
13.81764,64.4035,train,4.214016087417591E-9,1.7732281107578848E-6,3.015420295170726E-7
13.580662,64.211223,train,0.050910519033175713,95.23728191075891,0.7846220694853354
14.335809,65.698807,train,2.8444894515276855E8,100.0,0.9999999999508703
14.34353,65.6948,train,2.8444894515276855E8,100.0,0.9999999999508703
12.547785,65.04317,train,1.0169551137402934E-14,1.141065370941486E-11,7.2770201876952E-13
13.24213,65.42411,train,1.4828321100890126E-14,1.6637984792854536E-11,1.0610693681837847E-12
13.813173,53.01738,train,7.011114241477306E9,100.0,0.9999999999980067
9.418545,54.670902,train,1.2467174580711E12,100.0,0.9999999999999888
9.840118,54.498985,train,179.5321952877234,100.0,0.9999221655145039
7.05,53.15,train,1.8772627859822243E10,100.0,0.9999999999992556
7.1,53.15,train,2.234774513857945E9,100.0,0.9999999999937467
12.232933,54.211651,train,7.573803871093677E10,100.0,0.9999999999998155
23.6725,52.6815,train,5.426941341068596E9,100.0,0.999999999997425
23.7075,52.7655,train,0.004279277027283616,12.615107487148707,0.2344274860348915
12.37565,51.298563,train,5.1007443466193039E18,100.0,1.0
14.432609,45.581724,train,3.8938323780580525E-4,0.526278535657917,0.027107769395718698
14.5118,45.609267,train,8.337821948773043E-8,4.1880782695108255E-5,5.966255129981056E-6
20.082144,64.107079,train,1.2729211552201035E-9,3.470013034124298E-7,9.108634171747598E-8
19.840218,64.153338,train,2.201188932089543E-6,0.001175226787642294,1.574855513349828E-4
15.915717,50.234188,train,1.1256940394895924E11,100.0,0.9999999999998759
15.38832,50.574881,train,2.7373159027814865E10,100.0,0.9999999999994895
9.768397,52.444244,train,35426.16855260443,100.0,0.9999996055210361
16.544973,59.276818,train,3.886034823086852E9,100.0,0.9999999999964038
-2.436222,56.861158,train,1.3883424186666943E12,100.0,0.9999999999999899
-2.192725,56.981115,train,1.7388229464381765E12,100.0,0.999999999999992
16.685637,49.225919,train,3.3407900286955063E10,100.0,0.9999999999995817
