Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.91233E-13,0.000000001,0,0.581632653,0.033248082,0
3.37423E-12,0.000000003,0,0.558673469,0.04859335,0
1.89423E-11,0.000000011,0.000000001,0.535714286,0.079283887,0
5.17276E-11,0.000000027,0.000000004,0.525510204,0.092071611,0
4.55528E-10,0.00000011,0.000000033,0.515306122,0.112531969,0
1.27292E-9,0.000000347,0.000000091,0.510204082,0.115089514,0
1.88447E-9,0.000001037,0.000000135,0.5,0.122762148,0
8.46593E-9,0.000003117,0.000000606,0.489795918,0.132992327,0
1.64751E-8,0.000010412,0.000001179,0.474489796,0.135549872,0
4.46331E-8,0.000030899,0.000003194,0.456632653,0.140664962,0
1.4196E-7,0.000058485,0.000010158,0.446428571,0.148337596,0
2.20733E-7,0.000102088,0.000015795,0.441326531,0.150895141,0
1.053E-6,0.000334886,0.000075344,0.428571429,0.15601023,0
1.6264E-6,0.000522691,0.000116367,0.426020408,0.16112532,0
2.20119E-6,0.001175228,0.000157486,0.415816327,0.163682864,0
6.35047E-6,0.002557834,0.000454214,0.410714286,0.179028133,0
1.05609E-5,0.005911736,0.000755136,0.400510204,0.179028133,0
1.73858E-5,0.010290211,0.001242526,0.392857143,0.179028133,0
4.67295E-5,0.027776953,0.003332674,0.380102041,0.179028133,0
6.12348E-5,0.050648707,0.004362659,0.369897959,0.181585678,0
7.89281E-5,0.10486144,0.005616137,0.352040816,0.184143223,0
1.84347E-4,0.236767885,0.013019532,0.326530612,0.196930946,0
2.20279E-4,0.315069198,0.015517901,0.318877551,0.199488491,0
3.38797E-4,0.428234352,0.023669441,0.308673469,0.207161125,0
3.89383E-4,0.526278395,0.027107769,0.301020408,0.20971867,0
5.67763E-4,0.631787002,0.039041274,0.295918367,0.222506394,0
6.80874E-4,0.716198342,0.046457771,0.293367347,0.227621483,0
6.88281E-4,0.853113873,0.046939489,0.288265306,0.227621483,0
7.02134E-4,0.973419095,0.047838998,0.283163265,0.227621483,0
7.10442E-4,1.063717772,0.048377705,0.280612245,0.230179028,0
7.34582E-4,1.137176019,0.049939438,0.278061224,0.230179028,0
7.81617E-4,1.215337731,0.052967646,0.275510204,0.230179028,0
8.57491E-4,1.301086849,0.05781213,0.272959184,0.230179028,0
8.94113E-4,1.411584146,0.060132726,0.267857143,0.230179028,0
1.08126E-3,1.663308687,0.071815121,0.262755102,0.232736573,0
1.11914E-3,1.811800387,0.0741444,0.260204082,0.237851662,0
1.22448E-3,2.055434198,0.080560974,0.255102041,0.242966752,0
1.52514E-3,2.353249803,0.098395922,0.25,0.242966752,0
1.60507E-3,2.513756906,0.103021546,0.24744898,0.245524297,0
1.73192E-3,2.849072613,0.110265855,0.242346939,0.245524297,0
1.78311E-3,3.027384107,0.11315618,0.239795918,0.245524297,0
1.78539E-3,3.384234847,0.113284338,0.234693878,0.245524297,0
1.79103E-3,3.741877505,0.11360164,0.229591837,0.245524297,0
1.81938E-3,3.923815822,0.115192631,0.227040816,0.245524297,0
1.91431E-3,4.115246337,0.120478469,0.224489796,0.245524297,0
1.94906E-3,4.310152527,0.122398176,0.221938776,0.245524297,0
2.07206E-3,4.517358751,0.129125021,0.219387755,0.250639386,0
2.14711E-3,4.939275539,0.133178703,0.214285714,0.250639386,0
2.17471E-3,5.17376377,0.134660147,0.209183673,0.250639386,0
2.49534E-3,5.403520132,0.151506153,0.209183673,0.253196931,0
2.49577E-3,5.653097371,0.151528413,0.206632653,0.253196931,0
2.69671E-3,5.922768762,0.161754978,0.204081633,0.253196931,0
2.83043E-3,6.067284219,0.168424538,0.201530612,0.253196931,0
3.02919E-3,6.522854336,0.178144897,0.198979592,0.25831202,0
3.21129E-3,6.843983525,0.186853198,0.196428571,0.260869565,0
3.23829E-3,7.167812652,0.188128643,0.193877551,0.260869565,0
3.30268E-3,7.498080783,0.191154326,0.191326531,0.260869565,0
3.37473E-3,7.605240029,0.194513204,0.18877551,0.260869565,0
3.54074E-3,7.852154706,0.20214749,0.18877551,0.26342711,0
3.6483E-3,8.216984437,0.207016956,0.18622449,0.26342711,0
3.81882E-3,9.32852562,0.21461624,0.178571429,0.26342711,0
3.83983E-3,10.094389943,0.21554244,0.173469388,0.26342711,0
3.84618E-3,10.862990428,0.215822081,0.168367347,0.26342711,0
3.99144E-3,11.262134835,0.222162487,0.165816327,0.26342711,0
4.13478E-3,11.675613314,0.228319186,0.163265306,0.268542199,0
4.2384E-3,12.099453175,0.232709213,0.160714286,0.268542199,0
4.25283E-3,12.524735757,0.233316523,0.158163265,0.268542199,0
4.38104E-3,12.962840176,0.238671899,0.155612245,0.271099744,0
4.52158E-3,13.414997873,0.244456333,0.153061224,0.271099744,0
4.73916E-3,13.888914275,0.253240992,0.150510204,0.271099744,0
4.88285E-3,14.377199557,0.258931012,0.147959184,0.271099744,0
4.99131E-3,14.537903445,0.263168921,0.145408163,0.271099744,0
5.23625E-3,14.900824925,0.272563438,0.145408163,0.273657289,0
5.31962E-3,15.432786693,0.275706407,0.142857143,0.273657289,0
5.34507E-3,16.499255069,0.276660453,0.137755102,0.273657289,0
5.38671E-3,17.037925939,0.278216201,0.135204082,0.273657289,0
5.45654E-3,17.25621887,0.280810241,0.132653061,0.273657289,0
5.56473E-3,17.594399222,0.284792324,0.132653061,0.278772379,0
6.29407E-3,18.675208267,0.310527567,0.12755102,0.281329923,0
6.46383E-3,18.797255798,0.316254343,0.12755102,0.283887468,0
6.58581E-3,20.10222052,0.320310831,0.12244898,0.289002558,0
6.72542E-3,20.265124807,0.324894885,0.119897959,0.291560102,0
7.20313E-3,20.82253314,0.340122901,0.119897959,0.294117647,0
7.25322E-3,21.547855331,0.34168013,0.117346939,0.294117647,0
7.4592E-3,22.028046059,0.348006335,0.114795918,0.296675192,0
7.57829E-3,22.30568388,0.35160887,0.114795918,0.299232737,0
7.60732E-3,23.066416293,0.352481274,0.112244898,0.301790281,0
7.65216E-3,24.592364247,0.353823533,0.107142857,0.301790281,0
7.82258E-3,25.374621795,0.358875564,0.104591837,0.301790281,0
8.05955E-3,26.75675227,0.365770693,0.099489796,0.301790281,0
8.3795E-3,27.809260244,0.374848163,0.096938776,0.304347826,0
9.12749E-3,28.483576966,0.395088946,0.094387755,0.304347826,0
9.42498E-3,28.751757989,0.402779203,0.094387755,0.306905371,0
9.63872E-3,29.715630139,0.408185086,0.091836735,0.306905371,0
9.67828E-3,30.683457842,0.409174787,0.089285714,0.309462916,0
9.93641E-3,31.236297227,0.415553124,0.086734694,0.309462916,0
1.01523E-2,31.698689867,0.420783122,0.086734694,0.31202046,0
1.05968E-2,32.758365415,0.431259607,0.084183673,0.31202046,0
1.06955E-2,33.827912136,0.433535267,0.081632653,0.31202046,0
1.08008E-2,34.90799332,0.435943838,0.079081633,0.31202046,0
1.08181E-2,35.989804616,0.436337449,0.076530612,0.314578005,0
1.08322E-2,37.073028555,0.436658427,0.073979592,0.314578005,0
1.0891E-2,38.162124858,0.437988825,0.071428571,0.314578005,0
1.105E-2,38.388847248,0.441559857,0.068877551,0.314578005,0
1.17022E-2,39.318789429,0.455744332,0.068877551,0.31713555,0
1.20162E-2,42.877462298,0.462319859,0.06122449,0.322250639,0
1.20162E-2,44.079081219,0.462319859,0.056122449,0.322250639,0
1.21999E-2,44.504918212,0.466094458,0.056122449,0.324808184,0
1.25581E-2,45.334889043,0.47330103,0.056122449,0.327365729,0
1.36653E-2,46.701420448,0.494400009,0.053571429,0.329923274,0
1.38666E-2,47.216382974,0.498054561,0.051020408,0.329923274,0
1.42211E-2,48.12352629,0.504365427,0.051020408,0.332480818,0
1.59611E-2,49.719640634,0.533175071,0.048469388,0.332480818,0
1.67526E-2,52.088000612,0.545198533,0.043367347,0.332480818,0
1.75209E-2,52.837761608,0.556293816,0.043367347,0.335038363,0
1.77836E-2,53.094119134,0.559964336,0.043367347,0.337595908,0
1.8069E-2,54.901015555,0.563882472,0.040816327,0.337595908,0
1.85524E-2,56.756259667,0.570364799,0.038265306,0.337595908,0
1.92545E-2,58.496679382,0.579441934,0.035714286,0.337595908,0
1.93323E-2,58.689486804,0.580423975,0.035714286,0.340153453,0
1.98265E-2,59.340332909,0.586558902,0.033163265,0.342710997,0
2.0921E-2,60.781581945,0.59952574,0.033163265,0.345268542,0
2.17322E-2,62.954801738,0.608624309,0.030612245,0.345268542,0
2.17645E-2,65.131256586,0.608978574,0.028061224,0.345268542,0
2.32901E-2,67.209371039,0.624985996,0.025510204,0.345268542,0
2.3431E-2,67.40130547,0.626398575,0.025510204,0.347826087,0
2.44271E-2,69.196639884,0.636089169,0.022959184,0.350383632,0
2.48469E-2,69.964836316,0.6400251,0.022959184,0.352941176,0
2.50916E-2,70.456283781,0.642279613,0.020408163,0.352941176,0
2.61488E-2,72.579715381,0.651704786,0.020408163,0.355498721,0
2.84387E-2,75.423584514,0.670509177,0.017857143,0.355498721,0
2.91363E-2,76.058257052,0.675841052,0.015306122,0.355498721,0
3.19507E-2,78.618656265,0.695706025,0.015306122,0.358056266,0
3.242E-2,81.860652722,0.698783717,0.012755102,0.358056266,0
3.37548E-2,84.134872541,0.707207715,0.010204082,0.360613811,0
3.44415E-2,85.304801078,0.711360341,0.010204082,0.363171355,0
3.61866E-2,88.923458533,0.721401964,0.007653061,0.363171355,0
3.64557E-2,89.051879594,0.722888918,0.005102041,0.363171355,0
3.93773E-2,90.445783951,0.73806335,0.005102041,0.3657289,0
4.03994E-2,90.933467664,0.742987354,0.005102041,0.37084399,0
4.06209E-2,91.039115902,0.744029756,0.005102041,0.373401535,0
4.57822E-2,93.501681028,0.766138555,0.005102041,0.378516624,0
4.70598E-2,93.934050971,0.771033634,0.00255102,0.378516624,0
5.03545E-2,95.049103605,0.782760441,0.00255102,0.381074169,0
6.05263E-2,98.491633404,0.812420724,0.00255102,0.386189258,0
6.25068E-2,99.161895207,0.817278013,0.00255102,0.391304348,0
6.39033E-2,99.634525061,0.820554574,0.00255102,0.393861893,0
6.49832E-2,100,0.823008805,0.00255102,0.396419437,0
6.71709E-2,100,0.827780525,0,0.396419437,0
7.45812E-2,100,0.842191795,0,0.398976982,0
1.12168E-1,100,0.889213577,0,0.401534527,0
1.40725E-1,100,0.909664763,0,0.406649616,0
1.5349E-1,100,0.916550155,0,0.409207161,0
1.71293E-1,100,0.924569387,0,0.411764706,0
2.17683E-1,100,0.939674348,0,0.414322251,0
4.62863E-1,100,0.970692597,0,0.416879795,0
5.24786E-1,100,0.974061062,0,0.41943734,0
8.48357E-1,100,0.983794081,0,0.421994885,0
1E0,100,0.986217722,0,0.42455243,0
