Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.77517E-3,17.750626317,0.336266394,0.229591837,0.149870801,0
3.81574E-3,18.132200484,0.338656454,0.227040816,0.149870801,0
3.87589E-3,18.519789368,0.342168098,0.224489796,0.149870801,0
4.07327E-3,18.920554247,0.353434296,0.221938776,0.149870801,0
4.08905E-3,19.072373683,0.354318673,0.219387755,0.15245478,0
4.11181E-3,19.338636747,0.355589436,0.219387755,0.15503876,0
4.19776E-3,19.758412483,0.360343887,0.216836735,0.15503876,0
4.22976E-3,20.181388193,0.362096159,0.214285714,0.15503876,0
4.24185E-3,20.605573413,0.362755976,0.211734694,0.15503876,0
4.32886E-3,20.811438305,0.367462296,0.209183673,0.160206718,0
4.42903E-3,21.048476772,0.372795904,0.209183673,0.162790698,0
4.5496E-3,21.300896284,0.379097194,0.206632653,0.170542636,0
4.6512E-3,21.513597169,0.384309495,0.206632653,0.175710594,0
4.69831E-3,21.983428024,0.386696504,0.204081633,0.175710594,0
4.71937E-3,22.925195574,0.387757657,0.198979592,0.175710594,0
4.72325E-3,23.397520205,0.38795274,0.196428571,0.175710594,0
4.73955E-3,23.871475392,0.388771352,0.193877551,0.175710594,0
4.78866E-3,24.35034161,0.391223729,0.191326531,0.175710594,0
4.80737E-3,24.592094424,0.39215251,0.18877551,0.175710594,0
4.826E-3,24.832941388,0.393074997,0.18877551,0.183462532,0
4.87684E-3,25.117699385,0.39557811,0.18622449,0.183462532,0
4.91374E-3,25.324314971,0.39738144,0.18622449,0.186046512,0
5.01095E-3,25.536770105,0.402082262,0.183673469,0.188630491,0
5.14936E-3,25.839251128,0.408649865,0.183673469,0.19379845,0
5.18118E-3,26.357368721,0.410139126,0.181122449,0.19379845,0
5.25196E-3,26.882564306,0.413425644,0.178571429,0.19379845,0
5.34522E-3,27.417086312,0.417700659,0.176020408,0.19379845,0
5.34522E-3,28.486130325,0.417700659,0.168367347,0.19379845,0
5.35188E-3,28.813790473,0.418003655,0.168367347,0.196382429,0
5.35611E-3,29.02174137,0.41819579,0.168367347,0.198966408,0
5.3754E-3,29.559281819,0.419070928,0.165816327,0.198966408,0
5.42656E-3,29.844533764,0.421378446,0.163265306,0.198966408,0
5.47356E-3,30.106637839,0.423482611,0.163265306,0.201550388,0
5.56799E-3,30.538387867,0.427664067,0.160714286,0.204134367,0
5.63228E-3,30.750667225,0.430476225,0.158163265,0.219638243,0
5.84753E-3,31.25098557,0.439694065,0.158163265,0.224806202,0
5.92687E-3,31.564463209,0.443017056,0.155612245,0.224806202,0
5.99247E-3,31.823662735,0.445735054,0.155612245,0.22997416,0
6.01947E-3,32.452870325,0.446846024,0.153061224,0.23255814,0
6.05761E-3,32.631083299,0.448407368,0.150510204,0.23255814,0
6.15109E-3,33.067978919,0.452198025,0.150510204,0.235142119,0
6.3292E-3,33.700898546,0.459278133,0.147959184,0.237726098,0
6.41759E-3,34.257542537,0.462724355,0.145408163,0.237726098,0
6.48091E-3,34.992121408,0.465165987,0.142857143,0.240310078,0
6.57766E-3,35.649887333,0.468854535,0.140306122,0.240310078,0
6.59016E-3,36.308903526,0.469327464,0.137755102,0.240310078,0
6.64309E-3,36.973212511,0.471320236,0.135204082,0.240310078,0
6.65573E-3,37.638785162,0.471793803,0.132653061,0.240310078,0
6.68289E-3,38.30707378,0.472808764,0.130102041,0.240310078,0
6.73664E-3,38.980737859,0.474806126,0.12755102,0.240310078,0
6.88683E-3,39.669421315,0.480307502,0.125,0.240310078,0
6.91389E-3,40.360810241,0.481286248,0.12244898,0.240310078,0
6.96884E-3,40.636861553,0.48326286,0.119897959,0.240310078,0
7.05431E-3,41.066241374,0.486307588,0.119897959,0.245478036,0
7.10309E-3,41.267403581,0.488029157,0.117346939,0.248062016,0
7.22962E-3,41.789202899,0.492441452,0.117346939,0.253229974,0
7.30768E-3,42.004365711,0.495126089,0.114795918,0.258397933,0
7.5018E-3,42.539382749,0.501680113,0.114795918,0.266149871,0
7.52951E-3,43.292333371,0.502601765,0.112244898,0.266149871,0
7.53919E-3,43.671182651,0.502923037,0.109693878,0.266149871,0
7.5488E-3,44.047213311,0.503241509,0.109693878,0.26873385,0
7.5747E-3,44.673756836,0.504097811,0.107142857,0.26873385,0
7.58014E-3,44.805226955,0.504277117,0.107142857,0.271317829,0
7.63065E-3,45.56829198,0.505937409,0.104591837,0.279069767,0
7.87598E-3,46.355890142,0.513845338,0.102040816,0.281653747,0
7.90665E-3,47.146555517,0.514816246,0.099489796,0.281653747,0
7.99776E-3,47.325519374,0.517677303,0.096938776,0.286821705,0
8.33073E-3,47.979628832,0.527853422,0.096938776,0.291989664,0
8.37306E-3,48.103814152,0.52911623,0.094387755,0.291989664,0
8.47978E-3,48.416952967,0.532270667,0.094387755,0.294573643,0
8.62468E-3,48.842096656,0.536486365,0.094387755,0.297157623,0
8.89208E-3,49.18091628,0.544070078,0.091836735,0.297157623,0
9.09274E-3,49.435162892,0.549599816,0.091836735,0.304909561,0
9.35545E-3,49.768035048,0.55664002,0.091836735,0.30749354,0
9.39139E-3,50.022143718,0.557586168,0.089285714,0.310077519,0
9.43633E-3,50.417260667,0.558763318,0.089285714,0.312661499,0
