Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.7544E-12,0.000000001,0,0.908163265,0,0
4.46348E-12,0.000000003,0,0.895408163,0,0
2.93599E-11,0.000000012,0.000000003,0.880102041,0,0
3.47478E-11,0.000000028,0.000000003,0.867346939,0,0
1.15935E-10,0.0000001,0.000000011,0.841836735,0,0
2.82111E-10,0.000000258,0.000000027,0.821428571,0,0
1.07654E-9,0.000001072,0.000000105,0.790816327,0.002583979,0
4.00151E-9,0.000002522,0.00000039,0.780612245,0.002583979,0
1.55463E-8,0.000010189,0.000001514,0.757653061,0.002583979,0
5.37178E-8,0.000029762,0.000005233,0.739795918,0.002583979,0
2.5609E-7,0.000055371,0.000024945,0.737244898,0.005167959,0
3.02186E-7,0.000111703,0.000029435,0.732142857,0.005167959,0
4.00358E-7,0.000262719,0.000038997,0.721938776,0.005167959,0
5.75811E-7,0.000554529,0.000056086,0.706632653,0.005167959,0
8.96265E-7,0.001007183,0.000087297,0.691326531,0.005167959,0
1.87004E-6,0.002562927,0.000182126,0.663265306,0.010335917,0
3.02338E-6,0.00520999,0.000294419,0.635204082,0.010335917,0
7.10754E-6,0.010562092,0.000691863,0.609693878,0.012919897,0
1.29784E-5,0.026251392,0.00126262,0.571428571,0.012919897,0
2.11398E-5,0.050505331,0.002054984,0.535714286,0.012919897,0
5.03788E-5,0.102963453,0.004883407,0.494897959,0.018087855,0
8.51218E-5,0.202320143,0.008223493,0.456632653,0.023255814,0
1.33582E-4,0.310847224,0.012845042,0.431122449,0.031007752,0
1.80068E-4,0.407858785,0.017238001,0.415816327,0.036175711,0
2.18701E-4,0.534335785,0.02085923,0.400510204,0.041343669,0
2.49858E-4,0.604879057,0.023760285,0.392857143,0.041343669,0
3.09781E-4,0.721614909,0.029291766,0.382653061,0.043927649,0
3.15897E-4,0.753204566,0.029852735,0.380102041,0.043927649,0
3.23174E-4,0.817526278,0.030519491,0.375,0.046511628,0
3.46585E-4,0.919462614,0.032658155,0.367346939,0.046511628,0
3.84003E-4,1.031121836,0.036056856,0.359693878,0.046511628,0
4.06738E-4,1.100584879,0.038110191,0.354591837,0.046511628,0
4.88674E-4,1.205617936,0.045438549,0.349489796,0.056847545,0
5.30151E-4,1.309351026,0.049105875,0.344387755,0.056847545,0
5.61557E-4,1.420336981,0.051864012,0.339285714,0.056847545,0
6.59919E-4,1.552031983,0.06039973,0.334183673,0.059431525,0
6.89394E-4,1.756642423,0.062927723,0.326530612,0.059431525,0
7.72557E-4,2.056093238,0.069987559,0.316326531,0.062015504,0
8.12977E-4,2.299434969,0.073380556,0.308673469,0.062015504,0
1.05918E-3,2.5061615,0.093524494,0.303571429,0.067183463,0
1.13769E-3,2.750652399,0.099766022,0.295918367,0.074935401,0
1.47276E-3,3.143172201,0.125462241,0.290816327,0.087855297,0
1.50031E-3,3.293202775,0.127509367,0.288265306,0.087855297,0
1.57965E-3,3.603149337,0.133353273,0.283163265,0.087855297,0
